H2,phi,T(K),COe,UHCe,NOXe,CO2e,CO2p
119.95194992512438
,0.1,629.7970547169516,0.0,2.289501844973896e-19,0.18746700582297784,0.0,0.0
,0.2,924.5116042254604,0.0,1.5424363324699884e-12,11.942160206514236,0.0,0.0
,0.3,1187.3695458300847,0.0,3.107495301393678e-09,142.59929029327265,0.0,0.0
,0.4,1425.238818949696,0.0,3.008221436411092e-07,601.010477563472,0.0,0.0
,0.5,1641.1340561748827,0.0,6.581737842501303e-06,1476.7696140148778,0.0,0.0
,0.6,1836.656137273872,0.0,6.219031645291112e-05,2624.797746767976,0.0,0.0
,0.7,2012.202607570886,0.0,0.00035129178819725345,3713.3487763009857,0.0,0.0
,0.7999999999999999,2166.7003888514328,0.0,0.001437020669558171,4310.545320504212,0.0,0.0
,0.8999999999999999,2295.387970067456,0.0,0.004883609367609781,3966.809129771975,0.0,0.0
,0.9999999999999999,2379.86256155749,0.0,0.015128644240176558,2521.427907139136,0.0,0.0
,1.0999999999999999,2392.583679684048,0.0,0.03740627556456724,1108.9100962564153,0.0,0.0
,1.2,2363.9705663754066,0.0,0.06546264759407076,496.61604117750807,0.0,0.0
,1.3,2325.323824406944,0.0,0.09373624691752529,248.93537938473494,0.0,0.0
,1.4,2284.7965362288655,0.0,0.12093211119188663,134.9410736097169,0.0,0.0
,1.5,2244.4847782124134,0.0,0.14679029084181036,77.01217846293952,0.0,0.0
,1.5999999999999999,2205.052084392435,0.0,0.17129186571616714,45.545981417580215,0.0,0.0
,1.7,2166.732194824992,0.0,0.19448881660528108,27.64598076148755,0.0,0.0
,1.8,2129.603684687937,0.0,0.21645575945476161,17.117014286452765,0.0,0.0
,1.9,2093.681433124525,0.0,0.2372729930321079,10.765760908521113,0.0,0.0
,2.0,2058.9516435518617,0.0,0.2570197467632846,6.858578510508777,0.0,0.0
CO,phi,T(K),COe,UHCe,NOXe,CO2e,CO2p
10.10272699904166
,0.1,679.8949177290251,6.322358726631058e-13,6.322358726631058e-19,0.39148939484142786,41152.26802035703,0.0040733821694143284
,0.2,1005.3938302853372,1.4672393210272547e-05,1.4672393210272547e-11,29.991460724807993,80645.21409808662,0.007982519383700717
,0.3,1288.0034742622372,0.03828684225922845,3.828684225922845e-08,292.3944685023379,118577.19191259827,0.011737147002373364
,0.4,1538.8065546077062,3.9304894007228395,3.93048940072284e-06,1059.5413419460322,155034.64157728918,0.015345821142350545
,0.5,1763.5853266277693,86.75153587411008,8.675153587411007e-05,2345.5992954787603,190016.99588813484,0.018808485659976733
,0.6,1963.3553035357834,798.0706494736528,0.0007980706494736528,3858.1401578318737,222978.49853426608,0.022071119862529957
,0.7,2130.2917361723707,3971.681793080976,0.003971681793080976,5093.559140089797,251878.89325285528,0.024931772706195898
,0.7999999999999999,2253.4640668706174,12018.444783511011,0.012018444783511011,5637.247216156653,273916.14371357026,0.027113089737013957
,0.8999999999999999,2334.3130417368193,25293.51274158498,0.025293512741584978,5499.063888081686,288548.76050028834,0.028561472613053872
,0.9999999999999999,2383.306268137767,42390.867741269234,0.04239086774126923,4923.6300647770295,297286.5796087597,0.029426369695722765
,1.0999999999999999,2409.4421563528344,61929.02067487505,0.06192902067487505,4125.734425582898,301686.46837296087,0.02986188465763538
,1.2,2418.0389419615512,83041.1712958847,0.0830411712958847,3250.964724960068,302759.3547784068,0.029968082361042356
,1.3,2412.024841620495,105219.73320216907,0.10521973320216907,2404.8677820372877,301122.5841227887,0.029806069603915162
,1.4,2393.5430468129175,128084.02110403932,0.12808402110403933,1669.748966682817,297261.3141987749,0.029423868845211098
,1.5,2365.218471418847,151210.91821239394,0.15121091821239394,1097.3729556978085,291732.3032868104,0.028876589787537953
,1.5999999999999999,2330.3918934935473,174124.7297354328,0.1741247297354328,694.845874429374,285180.8357034521,0.02822810472167606
,1.7,2292.2583527043776,196423.20465901805,0.19642320465901805,432.2087785935261,278182.7179061943,0.02753540879928583
,1.8,2253.085809173687,217865.44023644386,0.21786544023644386,267.8655448348862,271123.87277779885,0.026836701892817408
,1.9,2214.1709574796423,238353.81008881924,0.23835381008881923,166.70110664761896,264211.72988180094,0.026152516039170806
,2.0,2176.157752017802,257876.95625116568,0.2578769562511657,104.5331670155082,257540.56950489085,0.025492183400513645
CH4,phi,T(K),COe,UHCe,NOXe,CO2e,CO2p
50.02548811553696
,0.1,577.1716383708176,2.104678018899166e-17,4.644606597926068e-77,0.09019810364882266,10395.01082723561,0.0002077942908468517
,0.2,832.3609945145082,3.26034839166547e-09,7.433728187305461e-54,3.6041137822602742,20576.137744603086,0.0004113130829844423
,0.3,1064.6863282757681,3.8822581795476835e-05,3.007994414578939e-42,51.284818898839845,30549.91833937608,0.0006106870615398925
,0.4,1279.269869169343,0.011636466996973852,3.8647293924587656e-35,260.45018598097744,40322.550199520854,0.0008060401151187858
,0.5,1478.7403680681816,0.56047508430915,2.913404319774046e-30,745.7645742559913,49898.99541693391,0.0009974714349950788
,0.6,1664.5593576003128,9.545281185121535,1.1913764300874712e-26,1507.0446464480283,59274.789271642105,0.0011848917722650364
,0.7,1837.2940332746755,85.68758985623651,8.245767975778068e-24,2386.992693432442,68389.1580296219,0.0013670862715356802
,0.7999999999999999,1995.650974864279,508.8648692658504,1.8959534504321435e-21,3068.583337294791,76944.85779581203,0.001538113083836446
,0.8999999999999999,2133.1525986055112,2309.9519741615954,2.38609235815388e-19,3069.9614096216756,83847.1663631666,0.0016760889203023144
,0.9999999999999999,2224.617359623462,8953.463329493732,3.002946828214454e-17,1881.3616682304832,85401.51079825626,0.0017071599701539383
